scene_idx,v2i_network,n_vehicles,chosen_leader,is_leader,vehicle_id,queue_length,t_pair_avg_s,t_fuse_avg_s,D_hat_proc_s,D_hat_v2i_s,D_hat_total_s
5,3G,5,0,False,2,0,0.0032688957504978544,0.0009347067304661053,0.014010289732457522,0.418061315,0.43207160473245754
5,3G,5,0,False,3,0,0.0030867938121090233,0.0011786959419571035,0.013525871190393196,0.418061315,0.43158718619039316
5,3G,5,0,False,4,0,0.003260714678991729,0.00103124642217776,0.014074105138144674,0.418061315,0.43213542013814465
6,3G,5,3,False,0,2,0.0025836326925539103,0.0009504276352520205,0.016452223790575482,0.418061315,0.43451353879057547
6,3G,5,3,False,1,1,0.0030556711515089905,0.0010523005800632727,0.016330656337608225,0.418061315,0.4343919713376082
6,3G,5,3,False,2,2,0.0030261575233125853,0.0009504585766653501,0.01910740371654086,0.418061315,0.43716871871654084
6,3G,5,3,True,3,1,0.0030419678345227977,0.0009298450713005975,0.016139684243914584,0.418061315,0.4342009992439146
6,3G,5,3,False,4,1,0.00323269820503016,0.0011207757837881482,0.01728426680893895,0.418061315,0.43534558180893895
7,3G,5,2,False,0,1,0.0030701349415765663,0.0010277498034882795,0.01637842451137111,0.418061315,0.4344397395113711
7,3G,5,2,False,1,2,0.002929697016463991,0.0009548462554093959,0.01853302835419334,0.418061315,0.43659434335419334
7,3G,5,2,True,2,0,0.0031246338768984028,0.0008582762976012053,0.013356811805194817,0.418061315,0.4314181268051948
7,3G,5,2,False,3,2,0.003121632570727456,0.001078046825368127,0.019807842249732862,0.418061315,0.43786915724973285
7,3G,5,2,False,4,2,0.0028967779628804253,0.0010478688283570528,0.018428536605639607,0.418061315,0.4364898516056396
8,3G,5,3,False,0,1,0.002913284780750595,0.001182758994532856,0.01574918289828583,0.418061315,0.4338104978982858
8,3G,5,3,False,1,1,0.003227125727313487,0.0009630175776597866,0.017098646214227225,0.418061315,0.43515996121422723
8,3G,5,3,False,2,2,0.003157597036312872,0.0009933603981120403,0.019938942615989275,0.418061315,0.43800025761598926
8,3G,5,3,True,3,0,0.0030013242265710394,0.0009136705461987461,0.012918967452482904,0.418061315,0.4309802824524829
8,3G,5,3,False,4,0,0.003283131364467299,0.0011502909091169855,0.014282816366986181,0.418061315,0.4323441313669862
9,3G,5,0,True,0,0,0.003110654133299364,0.0009674225148217435,0.0134100390480192,0.418061315,0.4314713540480192
9,3G,5,0,False,1,2,0.0029579975121960525,0.00105153000750238,0.018799515080678692,0.418061315,0.43686083008067866
9,3G,5,0,False,2,2,0.0030355557708025595,0.000946103283186653,0.01915943790800201,0.418061315,0.437220752908002
9,3G,5,0,False,3,1,0.003021038399842723,0.0009386674711821584,0.016043859470395775,0.418061315,0.43410517447039576
9,3G,5,0,False,4,2,0.0031559709361051484,0.0011058660329989175,0.020041691649629805,0.418061315,0.4381030066496298
10,3G,5,4,False,0,2,0.0029460130699852766,0.000804945243590527,0.018481023663502186,0.418061315,0.43654233866350217
10,3G,5,4,False,1,1,0.0030923791375070775,0.000877278816477103,0.01633917450401249,0.418061315,0.4344004895040125
10,3G,5,4,False,2,1,0.002895846642707893,0.0010270902079883907,0.015506323421527855,0.418061315,0.43356763842152785
